Ticker,FirstMention,InitialPrice,CurrentPrice,ChangePct
SEIGY,2026-04-21 02:57:12,3.78,4.745,25.53
NB,2026-03-23 15:37:02,4.67,5.8,24.2
ATI,2026-03-23 15:37:02,146.38,181.1,23.72
IMSR,2026-05-13 07:00:30,7.12,8.77,23.17
TECK,2026-01-26 23:14:41,54.6529,67.28,23.1
AVGO,2025-12-22 16:27:15,340.7353,418.91,22.94
NOVT,2026-01-16 15:57:59,134.57,165.1,22.69
UURAF,2026-03-23 15:37:02,3.63,4.44,22.31
KEYS,2026-03-17 20:38:10,287.38,350.48,21.96
ASML,2026-02-27 01:55:14,1447.3987,1757.47,21.42
ENTG,2026-01-25 04:46:07,115.4541,139.88,21.16
CAMT,2026-02-07 18:53:42,150.44,181.16,20.42
GOOGL,2025-12-22 16:27:15,309.5621,372.19,20.23
KULR,2026-01-19 02:38:48,3.79,4.55,20.05
GEV,2026-02-07 15:12:56,801.0556,959.36,19.76
NVDA,2025-12-22 16:27:15,183.4662,218.66,19.18
ALOY,2026-03-23 15:37:02,11.58,13.8,19.17
ATKR,2026-04-23 03:12:29,71.7508,85.02,18.49
INFQ,2026-02-18 22:54:07,14.71,17.41,18.35
ERIC,2026-03-24 11:51:08,11.2939,13.35,18.21
AAPL,2026-02-18 07:37:34,264.1067,311.23,17.84
AMBQ,2026-05-13 07:00:30,71.29,82.8,16.15
FN,2026-02-25 20:41:36,615.99,714.78,16.04
PLPC,2026-04-23 03:12:29,328.8,376.3,14.45
FCX,2026-01-26 23:14:41,61.0356,69.69,14.18
TEM,2026-03-29 23:44:36,42.37,47.51,12.13
LIT,2026-01-25 00:16:57,74.48,83.28,11.82
ETN,2026-02-07 18:53:42,374.852,418.61,11.67
AMZN,2025-12-22 16:27:15,228.43,253.79,11.1
EOS,2026-04-03 11:21:21,20.5492,22.73,10.61
VMI,2026-04-23 03:12:29,494.44,544.88,10.2
HLIT,2026-05-13 07:00:30,13.35,14.61,9.44
HON,2026-01-03 17:43:52,199.0029,217.64,9.37
TDY,2026-01-19 02:38:48,566.23,618.59,9.25
TXN,2026-04-23 02:27:07,280.8032,305.37,8.75
SBGSY,2026-02-07 18:53:42,60.572,65.8,8.63
TEL,2026-03-17 20:38:10,203.5532,220.75,8.45
INDI,2026-05-13 07:00:30,4.51,4.88,8.2
PSTG,2026-02-16 17:09:30,72.69,78.51,8.01
ORCL,2025-11-18 00:12:21,219.1433,236.34,7.85
AMBA,2026-01-16 15:57:59,68.73,73.8,7.38
ARBE,2026-05-13 07:00:30,1.01,1.08,6.93
SAFRY,2026-04-05 12:56:46,82.3561,87.33,6.04
SNPS,2026-04-21 02:57:12,467.58,494.48,5.75
